epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,3691.49,0.80389,1.5705,0.53012,0.9777,0.94985,0.92534,0.97301,0.8057,0.92474,0.90895,0.93726,0.67142,0.70459,1.5337,0.44435,0.93863,0.0079012,0.0079012,0.0079012
55,3759.44,0.79424,1.55512,0.52316,0.97407,0.9403,0.91451,0.97163,0.80722,0.92718,0.89501,0.9434,0.67321,0.68784,1.54481,0.45842,0.93532,0.0078616,0.0078616,0.0078616
56,3827.4,0.79929,1.55883,0.51355,0.97696,0.94852,0.92511,0.97104,0.80474,0.92995,0.91065,0.935,0.66321,0.70864,1.54881,0.46496,0.93909,0.007822,0.007822,0.007822
57,3895.54,0.79389,1.56313,0.50966,0.97082,0.93769,0.92735,0.97075,0.80844,0.91734,0.90595,0.93049,0.66504,0.68789,1.57624,0.44879,0.93715,0.0077824,0.0077824,0.0077824
58,3963.66,0.78927,1.53938,0.51119,0.96963,0.96766,0.90231,0.97234,0.80838,0.93524,0.89562,0.93946,0.67133,0.70063,1.58719,0.45833,0.94706,0.0077428,0.0077428,0.0077428
59,4033.08,0.78914,1.53766,0.51034,0.97122,0.96141,0.91713,0.97705,0.80921,0.95075,0.89729,0.94669,0.67589,0.71289,1.56101,0.444,0.94631,0.0077032,0.0077032,0.0077032
60,4101.24,0.79708,1.55422,0.50905,0.9763,0.96043,0.91424,0.974,0.80764,0.94589,0.90345,0.94574,0.67536,0.69906,1.52119,0.44218,0.94368,0.0076636,0.0076636,0.0076636
61,4169.74,0.79291,1.53182,0.5129,0.97798,0.9361,0.91959,0.97225,0.80447,0.94089,0.87939,0.93717,0.67239,0.69583,1.54665,0.44846,0.93706,0.007624,0.007624,0.007624
62,4238.25,0.78784,1.51357,0.50644,0.97477,0.96747,0.91093,0.97469,0.81361,0.94294,0.89605,0.94048,0.6774,0.70079,1.58847,0.44467,0.939,0.0075844,0.0075844,0.0075844
63,4307.78,0.78733,1.52735,0.50272,0.96542,0.95868,0.93024,0.97943,0.81379,0.93802,0.91101,0.94747,0.67694,0.69941,1.53768,0.42666,0.93998,0.0075448,0.0075448,0.0075448
64,4376.28,0.78529,1.5271,0.50058,0.97126,0.95288,0.92935,0.97473,0.80847,0.93562,0.91274,0.93884,0.6669,0.7096,1.55365,0.44161,0.94416,0.0075052,0.0075052,0.0075052
65,4443.78,0.77229,1.50913,0.49601,0.96344,0.96415,0.9067,0.97193,0.8148,0.94873,0.89422,0.94838,0.67644,0.68783,1.51909,0.43977,0.94021,0.0074656,0.0074656,0.0074656
66,4512.2,0.77635,1.51008,0.49708,0.96776,0.96465,0.91532,0.97135,0.80874,0.93567,0.89632,0.93127,0.66682,0.69667,1.57334,0.43611,0.94077,0.007426,0.007426,0.007426
67,4580.94,0.78259,1.50578,0.49759,0.96542,0.949,0.93517,0.97546,0.81474,0.93346,0.90777,0.9406,0.67643,0.68498,1.50486,0.43835,0.93517,0.0073864,0.0073864,0.0073864
68,4650.58,0.77486,1.51802,0.49395,0.96469,0.96711,0.90675,0.9744,0.80758,0.94996,0.89372,0.94681,0.67492,0.69344,1.512,0.43675,0.9411,0.0073468,0.0073468,0.0073468
69,4719.77,0.7746,1.50136,0.50009,0.97113,0.93525,0.93428,0.97216,0.80873,0.91587,0.91978,0.94194,0.67337,0.68506,1.53265,0.44035,0.93473,0.0073072,0.0073072,0.0073072
70,4788.36,0.76725,1.52668,0.48275,0.9642,0.97342,0.90311,0.97102,0.80769,0.95234,0.88385,0.93395,0.67771,0.69425,1.54243,0.42316,0.94229,0.0072676,0.0072676,0.0072676
71,4855.93,0.76737,1.50342,0.48776,0.96459,0.96547,0.91056,0.9707,0.80401,0.94933,0.88653,0.93647,0.67597,0.69407,1.51445,0.44428,0.93534,0.007228,0.007228,0.007228
72,4924.48,0.77575,1.48804,0.48937,0.9667,0.96033,0.92891,0.97203,0.80905,0.94431,0.91301,0.94253,0.67745,0.68924,1.53928,0.42823,0.93041,0.0071884,0.0071884,0.0071884
73,4993.17,0.77147,1.48189,0.4843,0.96958,0.95852,0.91547,0.97035,0.81078,0.94124,0.89918,0.94005,0.6837,0.69099,1.50093,0.4269,0.93738,0.0071488,0.0071488,0.0071488
74,5061.78,0.77095,1.4829,0.49082,0.96765,0.94999,0.93826,0.97566,0.81682,0.93136,0.92013,0.94363,0.69399,0.69079,1.49497,0.41893,0.93104,0.0071092,0.0071092,0.0071092
75,5129.77,0.76532,1.47635,0.47901,0.95869,0.93777,0.93655,0.97249,0.80895,0.91897,0.91467,0.93761,0.68029,0.68751,1.53198,0.42493,0.93358,0.0070696,0.0070696,0.0070696
76,5201.9,0.76559,1.50541,0.47967,0.96511,0.94491,0.93238,0.96947,0.81136,0.9233,0.91146,0.92993,0.6783,0.68213,1.51186,0.42057,0.93214,0.00703,0.00703,0.00703
77,5270.04,0.75992,1.48926,0.48114,0.96139,0.9594,0.92528,0.96984,0.80752,0.93241,0.90499,0.93134,0.67834,0.68189,1.50422,0.42917,0.93074,0.0069904,0.0069904,0.0069904
78,5338.21,0.7674,1.47923,0.47978,0.96238,0.95879,0.92435,0.97253,0.81699,0.94098,0.90691,0.94699,0.68332,0.67747,1.49413,0.42671,0.92893,0.0069508,0.0069508,0.0069508
79,5406.41,0.76011,1.47573,0.47553,0.95548,0.96599,0.91135,0.97371,0.8164,0.94503,0.89008,0.93531,0.67735,0.68626,1.57173,0.42132,0.93369,0.0069112,0.0069112,0.0069112
